region_id,unit_id,fire_number,discovery_date,discovery_time,first_attack_date,first_attack_time,strategy_met_date,strategy_met_time,fire_out_date,fire_out_time,total_acres,statistical_cause,latitude,longitude
1,161,2011163005,4/25/2011,13:22,4/25/2011,13:30,4/25/2011,13:35,4/25/2011,13:45,1,9,46.82748244,-95.84554556
2,232,2011232007,4/25/2011,13:25,4/25/2011,13:58,4/25/2011,13:58,4/25/2011,14:00,0.02,5,46.17284557,-93.88064976
3,351,2011351014,4/25/2011,13:59,4/25/2011,14:05,4/25/2011,14:12,4/29/2011,8:00,0.5,5,45.47758468,-93.62140973
1,111,2011111016,4/25/2011,14:00,4/25/2011,14:15,4/25/2011,14:45,4/25/2011,15:05,4,5,47.6541857,-95.26279167
2,234,2011234006,4/25/2011,14:10,4/25/2011,14:16,4/25/2011,14:24,4/25/2011,14:40,0.1,9,47.44908078,-92.89618792
1,161,2011163002,4/25/2011,14:30,4/25/2011,14:46,4/25/2011,15:43,4/25/2011,16:00,25.5,5,45.88712566,-95.18408374
2,232,2011232008,4/25/2011,14:40,4/25/2011,15:10,4/25/2011,15:35,4/25/2011,15:35,0.5,4,46.7522512,-93.61013773
1,161,2011163003,4/25/2011,14:46,4/25/2011,15:00,4/25/2011,15:30,4/27/2011,16:00,27,5,46.15297009,-95.71602853
1,161,2011161005,4/25/2011,15:00,4/25/2011,15:09,4/25/2011,15:13,4/26/2011,8:00,0.1,7,46.97162474,-95.41214349
2,244,2011244016,4/25/2011,15:08,4/25/2011,15:24,4/25/2011,15:28,4/25/2011,16:00,0.1,4,46.3514806,-92.75395288
1,131,2011131002,4/25/2011,15:30,4/25/2011,15:45,4/25/2011,16:26,4/28/2011,12:20,3,5,48.85660635,-94.92976409
1,111,2011111014,4/25/2011,16:00,4/25/2011,16:00,4/25/2011,16:00,5/9/2011,9:30,0.1,5,47.4672883,-95.63927086
1,111,2011111013,4/25/2011,16:10,4/25/2011,16:19,4/25/2011,16:24,5/2/2011,8:00,0.2,7,47.35252761,-95.5489638
1,131,2011131003,4/25/2011,16:10,4/25/2011,16:18,4/25/2011,16:50,4/28/2011,17:00,0.25,5,48.71226365,-94.76078667
